Aprobar,AprobarImp,CodModo,CodMon,CodMot,CodPag,CodSerie,CodSunat,DesCli,DesDoc,DesMon,DesMot,Documento,DsctoSug,Estado,EstadoSunat,FactorSug,Factura,FecDoc,IdCliente,IdGuia,IdLocacion,IdSerieDoc,IdSugerido,NumCot,NumDoc,NumFac,NumJob,NumOrden,ObservacionSunat,TieneNotas,TipMov,TotNeto,TotNetoSug
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2311,,IM,ACEPTADO,,False,2025-08-17T00:00:00,56856,156062,72,296,0,,2311,,2056/25,,"El Comprobante numero T001-2311, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2312,,IM,ACEPTADO,,False,2025-08-17T00:00:00,56856,156065,72,296,0,,2312,,0020/24,,"El Comprobante numero T001-2312, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2313,,IM,ACEPTADO,,False,2025-08-18T00:00:00,56856,156067,72,296,0,,2313,,2056/25,,"El Comprobante numero T001-2313, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2314,,IM,ACEPTADO,,False,2025-08-18T00:00:00,56856,156068,72,296,0,,2314,,2057/25,,"El Comprobante numero T001-2314, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2315,,IM,ACEPTADO,,False,2025-08-18T00:00:00,56856,156069,72,296,0,,2315,,2057/25,,"El Comprobante numero T001-2315, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2316,,IM,ACEPTADO,,False,2025-08-18T00:00:00,56856,156070,72,296,0,,2316,,2056/25,,"El Comprobante numero T001-2316, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,PESQUERA NIROCI SOCIEDAD ANONIMA CERRADA,Guia de Remisión,DOLARES USA         ,Otros,T001-2317,,IM,ACEPTADO,,False,2025-08-18T00:00:00,56918,156071,72,296,0,,2317,,2047/25,,"El Comprobante numero T001-2317, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,00,T001,09,EMPRESA PESQUERA MARIA DEL ROCIO SRLTDA,Guia de Remisión,DOLARES USA         ,Venta,T001-2318,,FC,ACEPTADO,,True,2025-08-19T00:00:00,57397,156072,72,296,0,1796,2318,F/ F001-1560,,COT.1796-2025M,"El Comprobante numero T001-2318, ha sido aceptado",True,D,1429.1,0.0
True,True,02,US,1,00,T001,09,ASESORIA Y DISEÑO ELECTROMECANICO DEL NORTE' EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,Guia de Remisión,DOLARES USA         ,Venta,T001-2319,,FC,ACEPTADO,,True,2025-08-20T00:00:00,57911,156073,72,296,0,1812,2319,F/ F001-1561,,15194,"El Comprobante numero T001-2319, ha sido aceptado",True,D,306.75,0.0
False,False,02,US,9,,T001,09,PESQUERA NIROCI SOCIEDAD ANONIMA CERRADA,Guia de Remisión,DOLARES USA         ,Otros,T001-2320,,AN,ACEPTADO,,False,2025-08-20T00:00:00,56918,156074,72,296,0,,2320,,0020/24,,"El Comprobante numero T001-2320, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,TECNOLOGICA DE ALIMENTOS S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2321,,IM,ACEPTADO,,False,2025-08-20T00:00:00,56972,156077,72,296,0,,2321,,2058/25,,"El Comprobante numero T001-2321, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,TECNOLOGICA DE ALIMENTOS S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2322,,IM,ACEPTADO,,False,2025-08-20T00:00:00,56972,156078,72,296,0,,2322,,2058/25,,"El Comprobante numero T001-2322, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,TECNOLOGICA DE ALIMENTOS S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2323,,IM,ACEPTADO,,False,2025-08-20T00:00:00,56972,156080,72,296,0,,2323,,2058/25,,"El Comprobante numero T001-2323, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,PESQUERA HAYDUK S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2324,,IM,ACEPTADO,,False,2025-08-21T00:00:00,56971,156081,72,296,0,,2324,,2056/25,,"El Comprobante numero T001-2324, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2325,,IM,ACEPTADO,,False,2025-08-20T00:00:00,56856,156082,72,296,0,,2325,,0020/24,,"El Comprobante numero T001-2325, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,PESQUERA HAYDUK S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2326,,IM,ACEPTADO,,False,2025-08-21T00:00:00,56971,156083,72,296,0,,2326,,2056/25,,"El Comprobante numero T001-2326, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2327,,IM,ACEPTADO,,False,2025-08-21T00:00:00,56856,156084,72,296,0,,2327,,,,"El Comprobante numero T001-2327, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,INDUSTRIAL EXCHANGER TUBILLAS S.A.C.,Guia de Remisión,DOLARES USA         ,Otros,T001-2328,,IM,ACEPTADO,,False,2025-08-21T00:00:00,57230,156085,72,296,0,,2328,,2058/25,,"El Comprobante numero T001-2328, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,LC TURBO S.A.C.,Guia de Remisión,DOLARES USA         ,Otros,T001-2329,,IM,ACEPTADO,,False,2025-08-21T00:00:00,57229,156086,72,296,0,,2329,,,,"El Comprobante numero T001-2329, ha sido aceptado",True,O,0.0,0.0
